Text,Result
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하고 치료를 꼼꼼하게 잘 해주세요~,"긍정 확률: 47.38%, 부정 확률: 52.62%"
친절해여,"긍정 확률: 39.01%, 부정 확률: 60.99%"
친절하세요,"긍정 확률: 41.28%, 부정 확률: 58.72%"
친절하세요 ,"긍정 확률: 41.28%, 부정 확률: 58.72%"
친절하시고 치료 잘받았어요 ,"긍정 확률: 43.94%, 부정 확률: 56.06%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하시고 꼼꼼하게 잘 봐주신다. 아이가 무서워하지 않도록 친절하게 얘기하시면서 치료해주신다,"긍정 확률: 56.60%, 부정 확률: 43.40%"
"전문 어린이치과를 다니다가  학교검진으로 우연히 학교 근처로 방문했다가 구강검진, 치료, 흔들리는 치아 발치 있을땐 이젠 여기로 옵니다🤩 선생님 간호사 모두 너무 친절하셔요.❤내용 더보기","긍정 확률: 57.87%, 부정 확률: 42.13%"
친절하고 좋아요,"긍정 확률: 43.25%, 부정 확률: 56.75%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
피부에 문제가 생겨서 갔어요 대기하시는 분 없이 한가해서 빨리 볼수있었어요 효과는 지켜봐야할거같아요!! ,"긍정 확률: 49.49%, 부정 확률: 50.51%"
.,"긍정 확률: 50.06%, 부정 확률: 49.94%"
좋아욤,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
카운터 간호사 불친절해요,"긍정 확률: 45.00%, 부정 확률: 55.00%"
.,"긍정 확률: 50.06%, 부정 확률: 49.94%"
.,"긍정 확률: 50.06%, 부정 확률: 49.94%"
꼼꼼히 잘 봐주셔서 감사합니다,"긍정 확률: 44.49%, 부정 확률: 55.51%"
치료도 꼼꼼하시고 친절하십니다 ,"긍정 확률: 42.30%, 부정 확률: 57.70%"
꼼꼼하게 치료를 잘해주시고 병원도 깨끗하고 간호사분들도 친절하십니다,"긍정 확률: 46.57%, 부정 확률: 53.43%"
치료를 꼼꼼하게 잘해주십니다 간호사분들도 친절하시고 병원도  깨끗합니다 ,"긍정 확률: 47.44%, 부정 확률: 52.56%"
친절해요~~~~~~,"긍정 확률: 41.29%, 부정 확률: 58.71%"
과잉진료없어요. 작아서 붐비는 시간에는 일찍 가야해요,"긍정 확률: 56.18%, 부정 확률: 43.82%"
친절해요~~~~~~~,"긍정 확률: 40.50%, 부정 확률: 59.50%"
의사쌤 친절하시고 설명도 잘하셔요 강추네요^^,"긍정 확률: 46.68%, 부정 확률: 53.32%"
겉에 보이는 간판은 엄청 오래 된 병원인데 병원은 엄청 깔끔했어요 ㅎ 아말감이 깨져서 갔는데도 확인해보시고 당장 급한거 아니라고 하시면서 몇번이고 확인해주셨습니다 깨져서 간거라 무조건 레진이든 인레이든 권유 받을 줄 알았는데 그런 권유 전혀없으셨습니다 엑스레이 찍고 스케일링만 받고 왔습니다 ㅎ,"긍정 확률: 51.06%, 부정 확률: 48.94%"
최고의 치과 👍 ,"긍정 확률: 47.99%, 부정 확률: 52.01%"
선생님들도 좋으시고 기계도 최신이라 올때마다 애기도 편하게 진료 받고 있어요 ㅎㅎ 원장님 교정 실력도 최고입니다! 진짜 골든 타임 꼭 맞춰오세요 추천추천,"긍정 확률: 48.83%, 부정 확률: 51.17%"
늘 친절하고 꼼꼼한 관리 감사드립니다~~ 아들이 교정중인데 변화되는 모습에 계속 감탄중입니다~~,"긍정 확률: 53.95%, 부정 확률: 46.05%"
교정치과 없어지고 다른곳 여러군데 다녔지만 여기가 최고입니다👍다들 완전 친절하시고 꼼꼼하게 해주셔서 감사해요😄이제 여기에 정착합니다!!!,"긍정 확률: 51.53%, 부정 확률: 48.47%"
친절하고 상담 잘해주세요,"긍정 확률: 43.80%, 부정 확률: 56.20%"
친절하고 상냥하게 잘 치료 해주시네요 ,"긍정 확률: 44.95%, 부정 확률: 55.05%"
너무 찬절하시고 좋아요😄ㅋㅋㅋ,"긍정 확률: 45.89%, 부정 확률: 54.11%"
기기도 완전 최신식에 내부도 깔끔해요. 원장님이랑 선생님들 전부 친절하고 꼼꼼하게 잘 봐주세요! 재 교정하러 왔는데 효과도 빨리 보이고 너무 좋아요 계속 치과 여기 다니려구요~! 추천합니다!,"긍정 확률: 57.27%, 부정 확률: 42.73%"
너무 친절하시고 꼼꼼히 진료 잘봐주세요 뿌리가 많니 짧아서 유지장치 제거할때 치아 빠질까봐 걱정많이 했는데 치아를 손으로 잡아주시면서 제거 해주셨어오 감사합니다 ㅠㅠ,"긍정 확률: 51.95%, 부정 확률: 48.05%"
제가 바뻐서 예약을 급하게 바꾸는 일이 많은데 친절히 잘 응대해주세요!!  감사합니다!!,"긍정 확률: 49.64%, 부정 확률: 50.36%"
9세 여아에요. 상악확장하기 위해 페이스마스크하고  치아배열하기로 했어요 대학병원에서 진단 받은 결과와 동일한 결과가 나오고 치료계획도 같은데 큰돈 들어가는 교정..  대학병원 은 너무 비싸고 다니기 불편하고 가까운 글로리에서 합리적으로 진행합니다. 그래도 방문상담때 원장님과 선생님들께 신뢰가 가지 않았다면 진행하지 못했겠죠 아이를 배려해주시고  친절하게 해주셔서 감사해요내용 더보기,"긍정 확률: 54.97%, 부정 확률: 45.03%"
초등학생 아이 유치 빼려고 갔는데 진짜 친절하게 잘해주셔서 감동 ㅠ 마취도 안 아프게 해주셔서 애가 신기해할 정도였어요^^  과잉 진료 걱정할 거 없이 잘 해주셔서 매번 여기만 갑니다,"긍정 확률: 51.16%, 부정 확률: 48.84%"
가성비 좋아요. 친절해요,"긍정 확률: 53.77%, 부정 확률: 46.23%"
친절하세요,"긍정 확률: 41.28%, 부정 확률: 58.72%"
친절해요 자주 이용하는 치과입니다,"긍정 확률: 44.03%, 부정 확률: 55.97%"
과잉진료 없이 친절하게 봐주시고 꼼꼼하게 진료해주셔서 매번 가고 있어요^^ 모두 친절하셔서 넘 좋아요^^,"긍정 확률: 49.95%, 부정 확률: 50.05%"
좋아요 양심적인 치과입니다 ,"긍정 확률: 44.09%, 부정 확률: 55.91%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
의사선생님과 간호사분 친절하세요 ,"긍정 확률: 45.35%, 부정 확률: 54.65%"
의사쌤이랑 간호사분 친절하세요,"긍정 확률: 44.77%, 부정 확률: 55.23%"
아주 오래된 병원 여전희 친절합니다,"긍정 확률: 43.56%, 부정 확률: 56.44%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
치료가잘돼요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하고치료도좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
구안와사 정말 힘들다 ㅠ,"긍정 확률: 47.53%, 부정 확률: 52.47%"
이젠 침 맞는것도 무섭다 그만 맞고 싶다,"긍정 확률: 46.40%, 부정 확률: 53.60%"
친절해요~,"긍정 확률: 46.19%, 부정 확률: 53.81%"
친절합니다 ,"긍정 확률: 40.78%, 부정 확률: 59.22%"
좋아요~~~~~~~~,"긍정 확률: 37.71%, 부정 확률: 62.29%"
친절하게 상담해 주세요,"긍정 확률: 43.62%, 부정 확률: 56.38%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
치과 선택이 중요합니다,"긍정 확률: 44.92%, 부정 확률: 55.08%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하세요 설명잘해주셨어요,"긍정 확률: 46.03%, 부정 확률: 53.97%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
마취 겁내지마세요,"긍정 확률: 46.26%, 부정 확률: 53.74%"
내 주치의병원  자상해요,"긍정 확률: 45.36%, 부정 확률: 54.64%"
ㅇ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
2달에 한번  혈압약타러가는데  제 주치의 잘 관리해주세요  ,"긍정 확률: 47.28%, 부정 확률: 52.72%"
선생님  친절하시고   좋아요,"긍정 확률: 42.79%, 부정 확률: 57.21%"
친잘해요,"긍정 확률: 41.00%, 부정 확률: 59.00%"
동네의원이라  제개인 주치의처럼  세심하게 신경써주셔서 아주 좋습니다.,"긍정 확률: 54.04%, 부정 확률: 45.96%"
.,"긍정 확률: 50.06%, 부정 확률: 49.94%"
.,"긍정 확률: 50.06%, 부정 확률: 49.94%"
.,"긍정 확률: 50.06%, 부정 확률: 49.94%"
상담을 잘해주세요.,"긍정 확률: 58.00%, 부정 확률: 42.00%"
진료잘봐주심 굿,"긍정 확률: 45.09%, 부정 확률: 54.91%"
오래된곳이지만 괜찮아요,"긍정 확률: 42.43%, 부정 확률: 57.57%"
친절하셔서 감사합니다 ,"긍정 확률: 41.50%, 부정 확률: 58.50%"
오래되고 옛날 병원 느낌 ~~~~ 원장님 잘봐주시나 말씀이 작으셔서 잘못알아들어요ㅎㅎ  치료와 진료는 잘해주시는듯,"긍정 확률: 49.46%, 부정 확률: 50.54%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
별루임 ...  잘 못보시는듯 사람이 없는덴 이유가 있네요 비싸기는 왜이리 비싼지....기찮아서 리뷰 이런거 안쓰는데 너무 짜증나서 씀 진짜 별로 ,"긍정 확률: 58.57%, 부정 확률: 41.43%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
선생님 너무 친절하십니다 항상 감사합니다^^,"긍정 확률: 46.49%, 부정 확률: 53.51%"
굿입니다 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
원장님 실장님께서 친절합니다 ,"긍정 확률: 42.92%, 부정 확률: 57.08%"
친절 굿 치료굿,"긍정 확률: 43.99%, 부정 확률: 56.01%"
ㅇㅇ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하고 꼼꼼하게 잘봐줘요,"긍정 확률: 42.95%, 부정 확률: 57.05%"
친절하고 침도 잘놓아요,"긍정 확률: 42.80%, 부정 확률: 57.20%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
음식도늦게나오고 맛도 그저그렇고,"긍정 확률: 40.26%, 부정 확률: 59.74%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
네네,"긍정 확률: 40.90%, 부정 확률: 59.10%"
김상준,"긍정 확률: 40.79%, 부정 확률: 59.21%"
잘 이용중입니다 ,"긍정 확률: 43.55%, 부정 확률: 56.45%"
안녕하세요 ,"긍정 확률: 41.95%, 부정 확률: 58.05%"
약물처방 위주이기 때문에 상담을 원하시면 다른 곳을 가야,"긍정 확률: 46.20%, 부정 확률: 53.80%"
카운터에서 응대해주시는 간호사분 바뀌셨나봐요 친절하세요,"긍정 확률: 48.06%, 부정 확률: 51.94%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
"이번에 새로오신 분인가, 메인 자리에서 응대하시는 간호사님이 오니 병원 가는 스트레스가 사라졌어요!","긍정 확률: 52.38%, 부정 확률: 47.62%"
이하동문,"긍정 확률: 42.10%, 부정 확률: 57.90%"
20년 전부터 공황장애 약 먹고 있는데 다 나았지만 예기불안 때문에 약은 못끊었어요.선생님과 상담하면 마음이 편해져요!내용 더보기,"긍정 확률: 54.12%, 부정 확률: 45.88%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
자세히 치료,"긍정 확률: 44.35%, 부정 확률: 55.65%"
치료를 섬세히,"긍정 확률: 39.43%, 부정 확률: 60.57%"
친절함. 자세해요 ,"긍정 확률: 54.79%, 부정 확률: 45.21%"
친절합니다 ,"긍정 확률: 40.78%, 부정 확률: 59.22%"
자세히게 잘봐주시네요   선생님이 치아를 아껴주시네요,"긍정 확률: 46.80%, 부정 확률: 53.20%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절합니다 ,"긍정 확률: 40.78%, 부정 확률: 59.22%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
항상 너무 정직하게 진료해주셔서 좋아요. 양심치과 찾으러 멀리까지 안가도 되고.. 얼마나올까 걱정하면서 갔는데 충치 없다는 말 듣고 행복하게 나왔습니당,"긍정 확률: 56.96%, 부정 확률: 43.04%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하고치료좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하게 진료 잘 봐주십니다.,"긍정 확률: 55.75%, 부정 확률: 44.25%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
샘 친절하세요 ,"긍정 확률: 43.51%, 부정 확률: 56.49%"
너무 친절해요~~,"긍정 확률: 49.16%, 부정 확률: 50.84%"
좋아요 😀 ,"긍정 확률: 42.43%, 부정 확률: 57.57%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
^^,"긍정 확률: 39.31%, 부정 확률: 60.69%"
중후한 원장님의 친절한 진료는 기분좋게 합니다 간호사님들도 친절하구요,"긍정 확률: 46.87%, 부정 확률: 53.13%"
원장님 간호사님들 진료 잘봐주시고 친절하십니다,"긍정 확률: 45.03%, 부정 확률: 54.97%"
ㄱ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
ㅇㅇ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
원장님의 친절함과 간호사들의 친절함 멋있으신 원장님의 진료는 맘에 든다 오진이 없으니~~~♡♡♡,"긍정 확률: 52.82%, 부정 확률: 47.18%"
친절 자세히,"긍정 확률: 38.55%, 부정 확률: 61.45%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
집근처 있어서 왔었는데 간호사분들도 친절하시고 원장님들도 잘 봐주세요!!! 최고예요!!,"긍정 확률: 48.68%, 부정 확률: 51.32%"
침 맞고 통증 .부기가 줄어들고 걸어다니기가 가벼워졌습니다,"긍정 확률: 57.65%, 부정 확률: 42.35%"
약침까지 맞았더니  더 좋아지는듯하네요 참고로 감비환 1주복용하고 붓기빠지고 변비현상이 많이 없어져서 좋았습니다,"긍정 확률: 48.15%, 부정 확률: 51.85%"
오늘도 팔쪽엘보가 아파서 봉침 맞고  물리치료잘받고 갑니다 의료진 친절하시고 좋아요 ,"긍정 확률: 47.91%, 부정 확률: 52.09%"
자주 애용하는 곳입니다. 원장님 친절하시고 침 효과도 아주 좋아요,"긍정 확률: 56.47%, 부정 확률: 43.53%"
넘어져서 무릎과 팔꿈치 타박상을 입고 통증이 심해서 내원 찜질하고 물리치료 약침까지 맞았네요~한결편해져서 내일도 예약했어요,"긍정 확률: 50.69%, 부정 확률: 49.31%"
손목이아파서처음와서치료하고이번에는 엘보 가아파서왔다가 봉침이있다고해서 맞았는데효과가좋은것같아요,"긍정 확률: 47.39%, 부정 확률: 52.61%"
원장님진료꼼꼼히봐주시고 친절하세요,"긍정 확률: 44.13%, 부정 확률: 55.87%"
담걸렸던곳이 침맞고나니 확실히좋아지고있어요^^ 원장님 간호사님들두 너무친절해요~,"긍정 확률: 47.54%, 부정 확률: 52.46%"
원장님진료꼼꼼히 침잘놔주시고 직원분들도친절해요~,"긍정 확률: 46.88%, 부정 확률: 53.12%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
ㅇㅇ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
ㅇㅇ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아여,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친근한 분위기의 병원내부와 푸근한 선생님들 덕에 최고의진료보고왔어요 항생제 무분별하게 처방해주는 다른곳과 확실히 차별화된 이유는 선생님의 실력덕인거 같아요 세명 진료받 았는데 무리없이 호전되었습니다 감사해요내용 더보기,"긍정 확률: 50.73%, 부정 확률: 49.27%"
서울경기에 이런 곳이 있다는게 그저감사할따름입니다 과잉진료 과잉처방없고  경력과 실력 편안한포스가 넘치는 원장님은 정말용하시네요 감기증상 있다하면 무조건 항생제부터 주 는 여타병원들에 신물이 났는데 딱 맞는 적정한 진료해주셔서 좋았습니다내용 더보기,"긍정 확률: 50.18%, 부정 확률: 49.82%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
친절하고 자세히 설명해줍니다,"긍정 확률: 43.31%, 부정 확률: 56.69%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
진료잘봐주세요,"긍정 확률: 43.06%, 부정 확률: 56.94%"
진료잘봐주세요,"긍정 확률: 43.06%, 부정 확률: 56.94%"
진료잘봐줘요,"긍정 확률: 42.28%, 부정 확률: 57.72%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
😊,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
상담잘해주세요.😊,"긍정 확률: 61.01%, 부정 확률: 38.99%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
과잉치료 없고 위생사분들도  친절하세요!,"긍정 확률: 47.10%, 부정 확률: 52.90%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
치실 하다가 금니 빠져서 갔는데 다행히 맞아서 잘 맞추고 스켈링하고 왔어요,"긍정 확률: 47.60%, 부정 확률: 52.40%"
진료도 잘 하시고 가격도 괜찮아요,"긍정 확률: 44.14%, 부정 확률: 55.86%"
관리 잘해주시고 진료도 꼼꼼해요,"긍정 확률: 45.84%, 부정 확률: 54.16%"
친절하고 좋아요,"긍정 확률: 43.25%, 부정 확률: 56.75%"
...,"긍정 확률: 52.64%, 부정 확률: 47.36%"
치과,"긍정 확률: 44.22%, 부정 확률: 55.78%"
.,"긍정 확률: 50.06%, 부정 확률: 49.94%"
굳,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
꼼꼼해요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
치과가기가두려운모든사람들에게강추합니다. 표현할수없는안정감무한한신뢰감 전원장님을추천합니다~~,"긍정 확률: 56.99%, 부정 확률: 43.01%"
오랜만에 스케일링 ,"긍정 확률: 42.63%, 부정 확률: 57.37%"
오랜만에 스케일링 다녀왔어요. ,"긍정 확률: 54.67%, 부정 확률: 45.33%"
"소아과 첫 옮겨봤는데, 대기가 길어서 그렇지 선생님은 친절하시고 잘봐주시는 것 같아요","긍정 확률: 53.65%, 부정 확률: 46.35%"
예약은 안되고 주차가능합니다~,"긍정 확률: 47.53%, 부정 확률: 52.47%"
손녀딸 예방접종하려갔는데 친절한 선생님이여습니다,"긍정 확률: 42.93%, 부정 확률: 57.07%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하세요,"긍정 확률: 41.28%, 부정 확률: 58.72%"
좋아요~,"긍정 확률: 39.47%, 부정 확률: 60.53%"
의사샘 이성적으로 판단빠르시고 신뢰가 갑니다,"긍정 확률: 45.07%, 부정 확률: 54.93%"
진료를 꼼꼼히 해주세요,"긍정 확률: 43.43%, 부정 확률: 56.57%"
굳,"긍정 확률: 44.58%, 부정 확률: 55.42%"
의사선생님이 진료를 잘해주세요,"긍정 확률: 45.50%, 부정 확률: 54.50%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
내과진로잘,"긍정 확률: 42.33%, 부정 확률: 57.67%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절합니다,"긍정 확률: 40.78%, 부정 확률: 59.22%"
친절합니다,"긍정 확률: 40.78%, 부정 확률: 59.22%"
친절합니다,"긍정 확률: 40.78%, 부정 확률: 59.22%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 😀 ,"긍정 확률: 42.43%, 부정 확률: 57.57%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
보습크림 약 처방 받으러 다녕ㅎ,"긍정 확률: 46.75%, 부정 확률: 53.25%"
약 받으러 다녀요,"긍정 확률: 44.66%, 부정 확률: 55.34%"
얼굴 사마귀 비슷한게 나서 제거 그런데 보험처리가 되는건데 처음엔 금액을 다르게 얘기~~믿을수 없네 ㅠ,"긍정 확률: 49.94%, 부정 확률: 50.06%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
약 받으러가요,"긍정 확률: 42.43%, 부정 확률: 57.57%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
자세하게 상담해주셔서 좋아요,"긍정 확률: 43.86%, 부정 확률: 56.14%"
"의사, 간호사 모두 친절해요","긍정 확률: 54.53%, 부정 확률: 45.47%"
꼼꼼히 치료해주세요,"긍정 확률: 45.73%, 부정 확률: 54.27%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절 정직 ,"긍정 확률: 38.97%, 부정 확률: 61.03%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
꼼꼼하게 잘봐주시는거 같아요,"긍정 확률: 46.48%, 부정 확률: 53.52%"
굳굳,"긍정 확률: 44.58%, 부정 확률: 55.42%"
늘 친절하시고 과잉진료없이 직접 치료잘해주셔서 믿고 방문하는 곳이에요 선생님 항상 감사드려요!! ,"긍정 확률: 49.37%, 부정 확률: 50.63%"
의사(원장)쌤이 직접 스케일링을 해줘요,"긍정 확률: 46.69%, 부정 확률: 53.31%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요~!!,"긍정 확률: 44.28%, 부정 확률: 55.72%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
좋아요~,"긍정 확률: 39.47%, 부정 확률: 60.53%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요!!,"긍정 확률: 40.16%, 부정 확률: 59.84%"
선생님 좋으세요,"긍정 확률: 44.08%, 부정 확률: 55.92%"
피부치료가 잘되요,"긍정 확률: 46.05%, 부정 확률: 53.95%"
의사선생님께서 친절하게 설명해주세요 ^^,"긍정 확률: 43.84%, 부정 확률: 56.16%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
"남자의사선생님 정말 친절하세요.  일전에 중화역 근처 다른 피부과갔다가  더 큰 염증 생기고….나름 열심히 서치하여 찾아갔는데 너무 친절하셔서….집에서 거리가 있음에도 찾아갑니 다.  친절하게 잘 봐주십니다. 시술뿐만 아니라 치료두 아주 친절하게 잘 해주세요.  참, 여긴 간호사분들도 넘 친절하셔요^^내용 더보기","긍정 확률: 58.31%, 부정 확률: 41.69%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
약처방,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
임플란트 하러 방문했습니다. 전에 다른 치료로도 왔었는데 여기만큼 좋은 치과가 없네요 원장샘이 친절하시고 꼼꼼하세요. 사랑니 발치도 전문으로 하는 곳이라 다음에 방문할 땐 딸아이와 같이 방문하려고요:-),"긍정 확률: 57.40%, 부정 확률: 42.60%"
.,"긍정 확률: 50.06%, 부정 확률: 49.94%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
충치치료,"긍정 확률: 41.95%, 부정 확률: 58.05%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절하세요 ,"긍정 확률: 41.28%, 부정 확률: 58.72%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
good,"긍정 확률: 38.15%, 부정 확률: 61.85%"
good,"긍정 확률: 38.15%, 부정 확률: 61.85%"
good,"긍정 확률: 38.15%, 부정 확률: 61.85%"
치과,"긍정 확률: 44.22%, 부정 확률: 55.78%"
좋아요~~~~~~~~~~~~~~,"긍정 확률: 37.80%, 부정 확률: 62.20%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하구 과잉진료가 정말 없네요 후기보고갔는데 좋았어요내용 더보기,"긍정 확률: 44.13%, 부정 확률: 55.87%"
좋아요 좋아요 좋아요 ,"긍정 확률: 40.26%, 부정 확률: 59.74%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하세요,"긍정 확률: 41.28%, 부정 확률: 58.72%"
친절한 설명 감사합니다,"긍정 확률: 41.20%, 부정 확률: 58.80%"
친절하세요 좋네요 ㅎㅎ,"긍정 확률: 47.18%, 부정 확률: 52.82%"
친절하세요 ㅎㅎㅎ,"긍정 확률: 46.03%, 부정 확률: 53.97%"
원장님이 잘 설명해주셨어요 ><,"긍정 확률: 44.88%, 부정 확률: 55.12%"
친절하세요,"긍정 확률: 41.28%, 부정 확률: 58.72%"
친절하게 상담해줘요,"긍정 확률: 42.55%, 부정 확률: 57.45%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
역시 러너들의 성지입니다. 제가 모자란 부분 등 많이 알 수 있었어요. 주변 지인분들에게 적극 추천 중입니다.,"긍정 확률: 57.19%, 부정 확률: 42.81%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
병원  업그레이드  됐고 손 님이  많아요,"긍정 확률: 46.58%, 부정 확률: 53.42%"
"러너Runner라면, 본인의 주법을 체크하는 차원에서 반드시 가보길 추천합니다ㅎㅎ 일반 정형외과 수준이 아님.","긍정 확률: 54.61%, 부정 확률: 45.39%"
굿!,"긍정 확률: 38.79%, 부정 확률: 61.21%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
